size,expr,time
1,FPOP,5827400
1,FPOP,5334120
1,FPOP,5270400
1,LOPART,957632520
1,BinSegAll,48024080
1,OPART,957629560
1,BinSegAll,50291200
1,OPART,946030840
1,SegAnnot,10908120
1,SegAnnot,7593120
1,BinSeg,40499320
1,SegAnnot,7677520
1,OPART,945969160
1,BinSeg,40489440
1,BinSeg,40626200
1,BinSegAll,50343720
1,LOPART,944453560
1,LOPART,944368880
3,OPART,945114080
3,BinSegAll,48432080
3,BinSeg,40252120
3,LOPART,938717280
3,SegAnnot,6531440
3,OPART,944573520
3,LOPART,939108040
3,FPOP,5472480
3,FPOP,5454840
3,SegAnnot,6412600
3,BinSeg,40334000
3,OPART,944676760
3,LOPART,940377720
3,SegAnnot,6269480
3,BinSegAll,48135600
3,BinSeg,40381240
3,BinSegAll,48694960
3,FPOP,5987400
5,BinSegAll,48255840
5,OPART,944652240
5,FPOP,5385160
5,FPOP,5285800
5,OPART,945078520
5,LOPART,937132360
5,BinSegAll,48001520
5,BinSeg,40342400
5,LOPART,934034960
5,OPART,945909840
5,SegAnnot,6363320
5,SegAnnot,6653840
5,BinSegAll,48151960
5,LOPART,934386040
5,FPOP,5411440
5,BinSeg,40332560
5,BinSeg,40085160
5,SegAnnot,6320840
10,BinSeg,40298720
10,SegAnnot,6937040
10,OPART,944682360
10,SegAnnot,6545160
10,LOPART,923433760
10,BinSeg,40348160
10,FPOP,5393880
10,OPART,944685400
10,BinSeg,40054320
10,BinSegAll,48322640
10,LOPART,924800520
10,BinSegAll,48249280
10,BinSegAll,48028480
10,OPART,945098520
10,FPOP,5419400
10,SegAnnot,6855800
10,FPOP,5627240
10,LOPART,924687600
22,LOPART,903245040
22,SegAnnot,6572960
22,BinSeg,40348440
22,SegAnnot,6541600
22,OPART,944578520
22,BinSeg,40319960
22,BinSeg,40021520
22,OPART,944488520
22,LOPART,903153120
22,BinSegAll,48000880
22,FPOP,5611760
22,FPOP,5229920
22,BinSegAll,48358600
22,FPOP,5439760
22,OPART,944877360
22,BinSegAll,47787320
22,SegAnnot,7146160
22,LOPART,902763320
47,FPOP,5430120
47,OPART,944688880
47,SegAnnot,7197320
47,BinSeg,40317560
47,BinSeg,40596080
47,OPART,946203440
47,FPOP,5522880
47,SegAnnot,7001120
47,LOPART,860899400
47,BinSeg,40353600
47,SegAnnot,6954080
47,BinSegAll,48141880
47,LOPART,858219640
47,OPART,946129800
47,BinSegAll,48022280
47,LOPART,858451840
47,BinSegAll,48117440
47,FPOP,5420880
100,SegAnnot,7781880
100,OPART,945131920
100,FPOP,5531440
100,BinSeg,40251480
100,BinSeg,40437880
100,OPART,946380080
100,BinSeg,40087960
100,BinSegAll,48103480
100,BinSegAll,47930200
100,FPOP,5514000
100,LOPART,771119000
100,LOPART,769854440
100,SegAnnot,7703360
100,OPART,944810840
100,BinSegAll,48221680
100,LOPART,768295480
100,SegAnnot,7636400
100,FPOP,5446640
216,OPART,944861120
216,FPOP,5342920
216,BinSeg,40249480
216,SegAnnot,9233320
216,FPOP,5478800
216,BinSegAll,48152840
216,LOPART,588811720
216,SegAnnot,9246960
216,BinSeg,40320880
216,OPART,944764400
216,LOPART,588442360
216,BinSegAll,48132160
216,OPART,944366760
216,BinSeg,40116640
216,FPOP,5368000
216,LOPART,588521360
216,BinSegAll,48407120
216,SegAnnot,9362440
465,BinSeg,40014800
465,BinSeg,39850600
465,FPOP,5415560
465,FPOP,5258400
465,OPART,945955320
465,LOPART,279711520
465,SegAnnot,12627600
465,FPOP,5479640
465,LOPART,279284600
465,OPART,944390960
465,BinSegAll,47941960
465,BinSegAll,48449800
465,BinSegAll,48033880
465,BinSeg,39679840
465,OPART,946811400
465,SegAnnot,12548480
465,SegAnnot,12606280
465,LOPART,279920720
1000,OPART,945398720
1000,BinSegAll,48238160
1000,BinSegAll,48197520
1000,FPOP,5437320
1000,BinSegAll,48007000
1000,BinSeg,39752760
1000,LOPART,7892800
1000,LOPART,7900400
1000,SegAnnot,20083040
1000,SegAnnot,20472120
1000,OPART,945060120
1000,BinSeg,39951360
1000,LOPART,8446760
1000,BinSeg,39915280
1000,OPART,944564880
1000,FPOP,5468600
1000,FPOP,5309960
1000,SegAnnot,20276720
