data.over.labels,size,expr,time,n.data,n.labels,label.density
10,10,OPART,10214080,100,10,0.1
10,10,LOPART,8809360,100,10,0.1
10,10,SegAnnot,2926280,100,10,0.1
10,10,FPOP,233680,100,10,0.1
10,10,SegAnnot,3342440,100,10,0.1
10,10,OPART,9172600,100,10,0.1
10,10,LOPART,7921920,100,10,0.1
10,10,SegAnnot,3320240,100,10,0.1
10,10,FPOP,235760,100,10,0.1
10,10,OPART,9671400,100,10,0.1
10,10,FPOP,257400,100,10,0.1
10,10,LOPART,8664600,100,10,0.1
1000,10,SegAnnot,3299280,100,0.1,0.001
1000,10,FPOP,236880,100,0.1,0.001
1000,10,FPOP,171320,100,0.1,0.001
1000,10,FPOP,166320,100,0.1,0.001
1000,10,SegAnnot,2900440,100,0.1,0.001
1000,10,OPART,9464040,100,0.1,0.001
1000,10,LOPART,9053120,100,0.1,0.001
1000,10,OPART,9098680,100,0.1,0.001
1000,10,LOPART,8785120,100,0.1,0.001
1000,10,OPART,8844520,100,0.1,0.001
1000,10,LOPART,8735400,100,0.1,0.001
1000,10,SegAnnot,2876920,100,0.1,0.001
10,28,OPART,10089400,280,28,0.1
10,28,SegAnnot,3850600,280,28,0.1
10,28,LOPART,8904040,280,28,0.1
10,28,LOPART,8245520,280,28,0.1
10,28,FPOP,884320,280,28,0.1
10,28,OPART,10299720,280,28,0.1
10,28,SegAnnot,3323680,280,28,0.1
10,28,OPART,10326720,280,28,0.1
10,28,FPOP,481400,280,28,0.1
10,28,FPOP,371280,280,28,0.1
10,28,SegAnnot,3449200,280,28,0.1
10,28,LOPART,8853080,280,28,0.1
1000,28,SegAnnot,3097760,280,0.28,0.001
1000,28,FPOP,529880,280,0.28,0.001
1000,28,FPOP,383440,280,0.28,0.001
1000,28,OPART,9922320,280,0.28,0.001
1000,28,SegAnnot,2971160,280,0.28,0.001
1000,28,LOPART,9058280,280,0.28,0.001
1000,28,OPART,9346240,280,0.28,0.001
1000,28,LOPART,9455280,280,0.28,0.001
1000,28,SegAnnot,5069400,280,0.28,0.001
1000,28,LOPART,9157800,280,0.28,0.001
1000,28,OPART,10056840,280,0.28,0.001
1000,28,FPOP,534720,280,0.28,0.001
10,78,FPOP,1217840,780,78,0.1
10,78,LOPART,8675480,780,78,0.1
10,78,OPART,14236400,780,78,0.1
10,78,SegAnnot,4710520,780,78,0.1
10,78,LOPART,8957360,780,78,0.1
10,78,LOPART,8657840,780,78,0.1
10,78,OPART,14335560,780,78,0.1
10,78,SegAnnot,4759760,780,78,0.1
10,78,FPOP,1069080,780,78,0.1
10,78,OPART,14539760,780,78,0.1
10,78,SegAnnot,4852400,780,78,0.1
10,78,FPOP,1259560,780,78,0.1
1000,78,SegAnnot,3733600,780,0.78,0.001
1000,78,FPOP,1312920,780,0.78,0.001
1000,78,SegAnnot,2996200,780,0.78,0.001
1000,78,LOPART,14065760,780,0.78,0.001
1000,78,FPOP,1033960,780,0.78,0.001
1000,78,LOPART,14745360,780,0.78,0.001
1000,78,LOPART,14237160,780,0.78,0.001
1000,78,OPART,15261840,780,0.78,0.001
1000,78,OPART,14508320,780,0.78,0.001
1000,78,FPOP,1047880,780,0.78,0.001
1000,78,OPART,14624840,780,0.78,0.001
1000,78,SegAnnot,2957880,780,0.78,0.001
10,216,OPART,61810920,2160,216,0.1
10,216,FPOP,2764320,2160,216,0.1
10,216,LOPART,9707040,2160,216,0.1
10,216,SegAnnot,9229760,2160,216,0.1
10,216,OPART,54107000,2160,216,0.1
10,216,SegAnnot,9202000,2160,216,0.1
10,216,FPOP,2960480,2160,216,0.1
10,216,LOPART,10649920,2160,216,0.1
10,216,OPART,51321040,2160,216,0.1
10,216,SegAnnot,9020280,2160,216,0.1
10,216,FPOP,3026640,2160,216,0.1
10,216,LOPART,9363400,2160,216,0.1
1000,216,SegAnnot,4595120,2160,2.16,0.001
1000,216,FPOP,3113960,2160,2.16,0.001
1000,216,SegAnnot,4331400,2160,2.16,0.001
1000,216,OPART,50761840,2160,2.16,0.001
1000,216,FPOP,2697960,2160,2.16,0.001
1000,216,OPART,51533280,2160,2.16,0.001
1000,216,OPART,51155520,2160,2.16,0.001
1000,216,FPOP,2730400,2160,2.16,0.001
1000,216,LOPART,30268680,2160,2.16,0.001
1000,216,LOPART,30428000,2160,2.16,0.001
1000,216,LOPART,30619360,2160,2.16,0.001
1000,216,SegAnnot,4396320,2160,2.16,0.001
10,600,SegAnnot,19476880,6000,600,0.1
10,600,LOPART,10698840,6000,600,0.1
10,600,LOPART,11313080,6000,600,0.1
10,600,FPOP,7717560,6000,600,0.1
10,600,OPART,332146360,6000,600,0.1
10,600,OPART,337204760,6000,600,0.1
10,600,LOPART,10813440,6000,600,0.1
10,600,SegAnnot,19636960,6000,600,0.1
10,600,FPOP,9498560,6000,600,0.1
10,600,SegAnnot,26406920,6000,600,0.1
10,600,OPART,357714520,6000,600,0.1
10,600,FPOP,7365880,6000,600,0.1
1000,600,OPART,331025840,6000,6,0.001
1000,600,LOPART,73520360,6000,6,0.001
1000,600,SegAnnot,6675120,6000,6,0.001
1000,600,OPART,325172160,6000,6,0.001
1000,600,OPART,329266800,6000,6,0.001
1000,600,FPOP,7315440,6000,6,0.001
1000,600,LOPART,73884160,6000,6,0.001
1000,600,LOPART,76375920,6000,6,0.001
1000,600,SegAnnot,6683680,6000,6,0.001
1000,600,SegAnnot,6602360,6000,6,0.001
1000,600,FPOP,7694640,6000,6,0.001
1000,600,FPOP,7091240,6000,6,0.001
10,1669,OPART,2443049800,16690,1669,0.1
10,1669,LOPART,14703840,16690,1669,0.1
10,1669,LOPART,14132160,16690,1669,0.1
10,1669,OPART,2653496520,16690,1669,0.1
10,1669,SegAnnot,60163840,16690,1669,0.1
10,1669,FPOP,19166520,16690,1669,0.1
10,1669,FPOP,19012200,16690,1669,0.1
10,1669,SegAnnot,54920120,16690,1669,0.1
10,1669,SegAnnot,54816920,16690,1669,0.1
10,1669,LOPART,15686480,16690,1669,0.1
10,1669,OPART,2580073920,16690,1669,0.1
10,1669,FPOP,19792320,16690,1669,0.1
1000,1669,FPOP,23533120,16690,16.69,0.001
1000,1669,OPART,2531265280,16690,16.69,0.001
1000,1669,LOPART,169629000,16690,16.69,0.001
1000,1669,SegAnnot,16543240,16690,16.69,0.001
1000,1669,SegAnnot,16873240,16690,16.69,0.001
1000,1669,LOPART,169816400,16690,16.69,0.001
1000,1669,FPOP,19727560,16690,16.69,0.001
1000,1669,OPART,2618532720,16690,16.69,0.001
1000,1669,SegAnnot,16354240,16690,16.69,0.001
1000,1669,OPART,2527572040,16690,16.69,0.001
1000,1669,FPOP,19449440,16690,16.69,0.001
1000,1669,LOPART,169246840,16690,16.69,0.001
10,4642,FPOP,74708760,46420,4642,0.1
10,4642,LOPART,33033240,46420,4642,0.1
10,4642,SegAnnot,189617920,46420,4642,0.1
10,4642,LOPART,28458360,46420,4642,0.1
10,4642,SegAnnot,175492960,46420,4642,0.1
10,4642,SegAnnot,185211960,46420,4642,0.1
10,4642,LOPART,28229640,46420,4642,0.1
10,4642,FPOP,53753880,46420,4642,0.1
10,4642,FPOP,52239440,46420,4642,0.1
1000,4642,FPOP,53242960,46420,46.42,0.001
1000,4642,LOPART,456027760,46420,46.42,0.001
1000,4642,SegAnnot,52292680,46420,46.42,0.001
1000,4642,SegAnnot,53360480,46420,46.42,0.001
1000,4642,SegAnnot,55088560,46420,46.42,0.001
1000,4642,FPOP,53332360,46420,46.42,0.001
1000,4642,LOPART,462157760,46420,46.42,0.001
1000,4642,FPOP,55896080,46420,46.42,0.001
1000,4642,LOPART,456473680,46420,46.42,0.001
10,12916,SegAnnot,560632520,129160,12916,0.1
10,12916,LOPART,77180800,129160,12916,0.1
10,12916,SegAnnot,575893520,129160,12916,0.1
10,12916,FPOP,141841640,129160,12916,0.1
10,12916,FPOP,140228600,129160,12916,0.1
10,12916,LOPART,77523720,129160,12916,0.1
10,12916,LOPART,59454760,129160,12916,0.1
10,12916,FPOP,144737720,129160,12916,0.1
10,12916,SegAnnot,584400560,129160,12916,0.1
1000,12916,LOPART,1276409200,129160,129.16,0.001
1000,12916,LOPART,1265348560,129160,129.16,0.001
1000,12916,SegAnnot,233834400,129160,129.16,0.001
1000,12916,FPOP,144235000,129160,129.16,0.001
1000,12916,FPOP,142874920,129160,129.16,0.001
1000,12916,FPOP,142100400,129160,129.16,0.001
1000,12916,SegAnnot,225399560,129160,129.16,0.001
1000,12916,SegAnnot,220990440,129160,129.16,0.001
1000,12916,LOPART,1271197160,129160,129.16,0.001
10,35939,FPOP,382482440,359390,35939,0.1
10,35939,SegAnnot,1345802800,359390,35939,0.1
10,35939,FPOP,395783920,359390,35939,0.1
10,35939,LOPART,337118880,359390,35939,0.1
10,35939,LOPART,317583760,359390,35939,0.1
10,35939,SegAnnot,1340411160,359390,35939,0.1
10,35939,FPOP,405503000,359390,35939,0.1
10,35939,SegAnnot,1481082400,359390,35939,0.1
10,35939,LOPART,156043920,359390,35939,0.1
1000,35939,SegAnnot,264221800,359390,359.39,0.001
1000,35939,SegAnnot,260590920,359390,359.39,0.001
1000,35939,LOPART,3515298760,359390,359.39,0.001
1000,35939,FPOP,479917720,359390,359.39,0.001
1000,35939,SegAnnot,276337640,359390,359.39,0.001
1000,35939,LOPART,3385271440,359390,359.39,0.001
1000,35939,FPOP,382004720,359390,359.39,0.001
1000,35939,FPOP,372223480,359390,359.39,0.001
1000,35939,LOPART,3355473120,359390,359.39,0.001
10,1e+05,FPOP,1072234560,1e+06,1e+05,0.1
10,1e+05,SegAnnot,4262276840,1e+06,1e+05,0.1
10,1e+05,SegAnnot,4351565040,1e+06,1e+05,0.1
10,1e+05,LOPART,738528400,1e+06,1e+05,0.1
10,1e+05,LOPART,606670640,1e+06,1e+05,0.1
10,1e+05,LOPART,624823560,1e+06,1e+05,0.1
10,1e+05,SegAnnot,4232547560,1e+06,1e+05,0.1
10,1e+05,FPOP,1138303240,1e+06,1e+05,0.1
10,1e+05,FPOP,1245505920,1e+06,1e+05,0.1
1000,1e+05,SegAnnot,804361680,1e+06,1000,0.001
1000,1e+05,FPOP,1112879320,1e+06,1000,0.001
1000,1e+05,FPOP,1050983080,1e+06,1000,0.001
1000,1e+05,SegAnnot,775771720,1e+06,1000,0.001
1000,1e+05,LOPART,9749965920,1e+06,1000,0.001
1000,1e+05,FPOP,1119327960,1e+06,1000,0.001
1000,1e+05,LOPART,9606971000,1e+06,1000,0.001
1000,1e+05,LOPART,9305776800,1e+06,1000,0.001
1000,1e+05,SegAnnot,761364480,1e+06,1000,0.001
